contig	length	gc
contig_55311	9892	0.6052365547917509
contig_35487	17298	0.5298878483061625
contig_65159	9786	0.47690578377273657
contig_23801	3744	0.4027777777777778
contig_7998	17773	0.4560288077420807
contig_53926	14389	0.5947598860240462
contig_54796	5195	0.3871029836381136
contig_24650	12234	0.38597351642962235
contig_53693	21097	0.5085083187183012
contig_54935	30163	0.3934953419752677
contig_56201	7662	0.5054815974941269
contig_65592	11151	0.4850686037126715
contig_43835	11884	0.3219454729047459
contig_66691	40546	0.4073644749173778
contig_45353	49123	0.3444415039798058
contig_14848	10735	0.5004191895668374
contig_21151	5869	0.6341795876639973
contig_20364	10561	0.5724836663194773
contig_63768	13648	0.69021101992966
contig_69718	6191	0.5934420933613309
contig_73486	3018	0.6660039761431411
contig_25733	43647	0.3892821957981075
contig_38887	26872	0.4705641559988092
contig_4772	12299	0.3840149605658997
contig_81207	23178	0.6111398740184658
contig_82041	48603	0.35150093615620437
contig_13218	42440	0.4914938737040528
contig_34197	17701	0.5069205129653692
contig_23627	1422144	0.5025236544259934
contig_23148	7300	0.3956164383561644
contig_52016	4419	0.45213849287169044
contig_58706	115852	0.5255412077478162
contig_19707	3371	0.5615544348857906
contig_53690	61806	0.5110507070510953
contig_63241	5819	0.46709056538924215
contig_20215	4431	0.6260437824418867
contig_36296	10045	0.4673967147834744
contig_31559	3440	0.45901162790697675
contig_4952	14595	0.4817403220280918
contig_10241	22735	0.5968330767539036
contig_58628	9421	0.43052754484661926
contig_62370	6092	0.36638214051214707
contig_33004	15686	0.5193803391559352
contig_18742	37732	0.44434432312095834
contig_63510	28299	0.5502667938796424
contig_19645	51390	0.5167736913796458
contig_49465	3394	0.576900412492634
contig_65264	12129	0.4832220298458241
contig_67744	16352	0.36411448140900193
contig_77718	21873	0.4174553101997897
contig_12913	10283	0.44131090148789265
contig_75490	14296	0.6124090654728596
contig_48881	4805	0.6628511966701353
contig_63023	24910	0.5576876756322762
contig_3857	7936	0.5701864919354839
contig_77019	12946	0.6691642206086822
contig_37135	23584	0.400907394843962
contig_11124	15238	0.38738679616747607
contig_52609	4633	0.43384416145046406
contig_61701	10491	0.4399008674101611
contig_74063	10106	0.40451217098753217
contig_39325	846671	0.6651899025713648
contig_19517	7801	0.4839123189334701
contig_67732	28457	0.5658713146150333
contig_13702	3790	0.37941952506596305
contig_75433	8724	0.4270976616231087
contig_62248	15195	0.586245475485357
contig_46096	448608	0.4844764248519866
contig_78147	35508	0.47611805790244455
contig_80981	78440	0.5776134625191229
contig_48376	18109	0.5882710254569551
contig_30320	4761	0.5202688510817055
contig_50326	28069	0.5133421212013253
contig_5036	30162	0.43826669319010675
contig_65492	16619	0.4281846079788194
contig_76166	26461	0.5657760477684138
contig_81354	8669	0.3142230937824432
contig_82492	39782	0.45083203458850735
contig_39485	3792	0.4509493670886076
contig_10847	11624	0.536648313833448
contig_69963	3621	0.5434962717481359
contig_24888	3695	0.42976995940460083
contig_69838	22239	0.4044246593821665
contig_79514	8057	0.5622440114186422
contig_34894	231009	0.4406062101476566
contig_81084	34765	0.6386020422839063
contig_26053	9755	0.5985648385443363
contig_84203	6605	0.5488266464799394
contig_71412	15056	0.42554463336875664
contig_45341	4549	0.5563860189052539
contig_58683	3499	0.3595312946556159
contig_64758	6572	0.6049908703590993
contig_71063	36697	0.6953974439327465
contig_56931	597887	0.46678552970711856
contig_65945	10154	0.6803230254087059
contig_18920	106326	0.6871038128021368
contig_23307	13074	0.6548110754168579
contig_71437	8627	0.3830995711139446
