contig	length	gc
contig_10414	26893	0.6533670471870003
contig_10415	3834	0.24569640062597808
contig_10416	13289	0.4689592896380465
contig_10417	11268	0.5299964501242457
contig_10418	9556	0.5690665550439514
contig_10419	77066	0.4456958970233307
contig_10420	17675	0.6165205091937765
contig_10421	8501	0.623220797553229
contig_10422	15188	0.5853963655517513
contig_10423	234306	0.6137145442284875
contig_10425	12142	0.43518366002306047
contig_10428	23820	0.5866498740554156
contig_10429	5457	0.5574491478834525
contig_10430	19408	0.5376133553173948
contig_10431	26670	0.4464566929133858
contig_10432	101797	0.467557983044687
contig_10433	19825	0.46860025220680956
contig_10434	24196	0.4795007439246156
contig_10437	12990	0.4987682832948422
contig_10438	3427	0.428071199299679
contig_10439	53459	0.5307993041396211
contig_10440	76532	0.4514974128469137
contig_10442	5688	0.5223277074542897
contig_10443	3191	0.4136634283923535
contig_10446	14036	0.4585351952123112
contig_10447	14387	0.3665809411274067
contig_10448	4506	0.6058588548601864
contig_10449	220634	0.6147601910856895
contig_10450	28189	0.45141721948277697
contig_10451	44577	0.4496713551831662
contig_10453	11503	0.3295662001217074
contig_10454	11121	0.4153403470910889
contig_10455	37837	0.42923593308137536
contig_10456	7748	0.45482705214248836
contig_10457	7279	0.41873883775243853
contig_10458	5933	0.41749536490814093
contig_10459	35413	0.43642165306525854
contig_10460	29788	0.42715187323754533
contig_10461	7131	0.43850792315243303
contig_10462	6161	0.6425904885570525
contig_10466	11418	0.3514626029076896
contig_10467	46243	0.44369958696451356
contig_10468	31614	0.42936673625608907
contig_10469	62963	0.5803090704064292
contig_10470	7748	0.582860092927207
contig_10471	39127	0.5229381245687121
contig_10473	42503	0.579559089946592
contig_10474	69369	0.5778661938329801
contig_10475	37204	0.46890119342006237
contig_10476	24042	0.60186340570668
contig_10477	33390	0.4519616651692123
contig_10479	3856	0.3179460580912863
contig_1048	4017	0.3953198904655215
contig_10481	10408	0.4374519600307456
contig_10482	36244	0.39002317624986205
contig_10483	232415	0.4340210399500893
contig_10484	17001	0.42915122639844716
contig_10486	16214	0.6422227704452942
contig_10487	4099	0.5798975359843864
contig_10488	14851	0.4050232307588715
contig_10489	30655	0.38300440384929046
contig_10490	19966	0.40508865070620054
contig_10492	25265	0.41789036216109243
contig_10493	25803	0.5133124055342402
contig_10494	6103	0.4329018515484188
contig_10495	70990	0.4974926045921961
contig_10496	9813	0.5476408845409151
contig_105	24007	0.4220019161078019
contig_10500	92310	0.3855595276784747
contig_10503	137973	0.3819442934487182
contig_10504	127169	0.3815631167973327
contig_10505	71768	0.3788178575409653
contig_10506	3379	0.31902929860905593
contig_10508	148408	0.40266697213088243
contig_10511	6931	0.40297215409031883
contig_10512	110100	0.44821071752951863
contig_10513	212088	0.29595262343932704
contig_10514	33835	0.5013152061474804
contig_10515	33049	0.320947683742322
contig_10516	16848	0.277659069325736
contig_10517	14700	0.4751700680272109
contig_10518	10814	0.4575550212687257
contig_10519	16060	0.5993150684931506
contig_10520	17127	0.627605535119986
contig_10521	36212	0.6320280569976803
contig_10522	34439	0.6266732483521589
contig_10523	36638	0.5894699492330367
contig_10525	4081	0.5506003430531733
contig_10526	13693	0.6060030672606441
contig_10530	55069	0.6301730556211299
contig_10531	25163	0.4224853952231451
contig_10532	15385	0.5942151446213845
contig_10533	24520	0.40314029363784665
contig_10534	85592	0.5023834003177867
contig_10535	129308	0.4410245305781545
contig_10536	11607	0.5294219005772379
contig_10537	8995	0.36942745969983326
contig_10539	4670	0.4539614561027837
contig_10540	6664	0.46308523409363744
contig_10541	41146	0.42504739221309484
contig_10543	21337	0.27923325678399025
contig_10544	7195	0.6967338429464907
contig_10545	47633	0.49106711733462094
contig_10546	10319	0.5849404012016668
contig_10547	91383	0.6150049790442423
contig_10550	3426	0.46409807355516636
contig_10552	8131	0.5914401672610995
contig_10553	9272	0.5490724762726489
contig_10554	16593	0.6015789790875671
contig_10555	4002	0.5567216391804098
contig_10557	83109	0.5693125894909096
contig_10558	35140	0.5959021058622652
contig_10560	7555	0.5444076770350761
contig_10561	22636	0.4791924368262944
contig_10562	57695	0.3493370309385562
contig_10563	34221	0.2777826480815873
contig_10564	5077	0.4246602324207209
contig_10565	14473	0.2513646099633801
contig_10569	639677	0.4276392616898841
contig_10570	10029	0.4162927510220361
contig_10571	150251	0.5413741006715429
contig_10572	14645	0.4198702628883578
contig_10573	14908	0.47082103568553796
contig_10574	19181	0.514988790991085
contig_10575	7848	0.43654434250764523
contig_10576	5122	0.4531433033971105
contig_10577	10378	0.6204470996338408
contig_10578	54245	0.6454604110977971
contig_10579	12292	0.44728278555157824
contig_10580	20924	0.4402599885299178
contig_10581	18730	0.4299519487453283
contig_10582	15828	0.5279251958554461
contig_10583	16542	0.5604521823237819
contig_10585	49630	0.5443884747128753
contig_10587	14276	0.5969459232277949
contig_10588	3893	0.5425122013871051
contig_10589	4455	0.32861952861952864
contig_1059	3982	0.4143646408839779
contig_10590	20077	0.5208945559595557
contig_10591	4618	0.6238631442182763
contig_10592	10337	0.3649995163006675
contig_10593	383840	0.42269435181325554
contig_10594	5533	0.3730345201518164
contig_10595	53889	0.2502551541130843
contig_10596	42841	0.403538666230947
contig_10597	11707	0.42598445374562227
contig_10598	10929	0.640497758257846
contig_10600	36030	0.3720510685539828
contig_10602	34740	0.36102475532527345
contig_10604	30763	0.3326398595715632
contig_10605	310089	0.44074120655682725
contig_10607	9314	0.3025552931071505
contig_1061	3192	0.3292606516290727
contig_10612	16472	0.4945361826129189
contig_10613	4749	0.3583912402611076
contig_10616	19229	0.3913880076967081
contig_10617	9643	0.45006740640879395
contig_10618	37224	0.4161562432839029
contig_10619	17080	0.5285128805620609
contig_10620	26169	0.4548893729221598
contig_10621	16274	0.47701855720781616
contig_10622	145227	0.41694037610086276
contig_10625	6042	0.3624627606752731
contig_10626	33932	0.5770069550866439
contig_10627	19453	0.6358402302986685
contig_10628	18126	0.4552024715877745
contig_10629	8534	0.38188422779470355
contig_10630	11625	0.594494623655914
contig_10631	10039	0.4191652555035362
contig_10632	6441	0.487657196087564
contig_10633	52068	0.42715295382960744
contig_10634	34447	0.47798066595059074
contig_10635	12825	0.4875633528265107
contig_10636	3554	0.3562183455261677
contig_10638	10269	0.5069627032817217
contig_10639	24656	0.4469905905256327
contig_10640	17281	0.5032694867195185
contig_10641	17198	0.4998255611117572
contig_10642	4379	0.5149577529116237
contig_10643	4843	0.592814371257485
contig_10644	19685	0.5328422656845314
contig_10645	48685	0.39583033788641264
contig_10646	13579	0.4856764121069298
contig_10647	14826	0.4316740860650209
contig_10648	27584	0.5815690255220418
contig_10649	67808	0.4878332940066069
contig_10650	3022	0.6227663798808736
contig_10651	13459	0.4643732818188573
contig_10652	8157	0.36042662743655757
contig_10653	16019	0.5159498096010987
contig_10654	13350	0.5138576779026217
contig_10655	10929	0.4028730899441852
contig_10656	54244	0.6153491630410737
contig_10657	25413	0.25345295714791644
contig_10658	121315	0.5667806948852162
contig_10660	8907	0.3914898394521163
contig_10661	7823	0.39153777323277517
contig_10663	33920	0.5423938679245283
contig_10664	36826	0.44004236137511543
contig_10665	53991	0.45681687688688855
contig_10666	18092	0.5063011275701967
contig_10667	37480	0.5779882604055496
contig_10668	22390	0.5165698972755695
contig_10669	6178	0.48640336678536744
contig_10670	4179	0.4455611390284757
contig_10671	6330	0.5036334913112164
contig_10672	17941	0.4816342455827434
contig_10675	19998	0.5217021702170217
contig_10676	4567	0.41865557258594266
contig_10677	10093	0.42148023382542354
contig_10680	22069	0.4701164529430423
contig_10681	21189	0.4436264099296805
contig_10682	281781	0.4656772458043658
contig_10683	12642	0.4418604651162791
contig_10685	4393	0.35397222854541316
contig_10686	17480	0.44433638443935924
contig_10687	29439	0.4867692516729508
contig_10688	14574	0.47824893646219296
contig_10689	18724	0.45695364238410596
contig_10690	14883	0.4857219646576631
contig_10691	27250	0.47155963302752296
contig_10692	74111	0.47042949089878694
contig_10693	13987	0.45349252877672125
contig_10694	12484	0.48429990387696253
contig_10695	54608	0.4326289188397304
contig_10696	26754	0.500074755176796
contig_10698	246205	0.41171787737860727
contig_10699	164603	0.4108612844237347
contig_107	5075	0.4614778325123153
contig_10700	6739	0.4537765247069298
contig_10701	148585	0.5094121210081771
contig_10702	32695	0.392659428047102
contig_10703	55182	0.39569062375412273
contig_10705	5867	0.3991818646667803
contig_10706	5786	0.6202903560318009
contig_10707	25544	0.6038208581271531
contig_10708	6146	0.597624471200781
contig_10709	4303	0.6265396235184755
contig_10710	6946	0.4710624820040311
contig_10711	6414	0.587464920486436
contig_10712	785407	0.5630736675379772
contig_10713	9863	0.6109702930142958
contig_10714	13628	0.5336072791312004
contig_10715	23030	0.6095961788970907
contig_10716	45910	0.5902199956436506
contig_10717	25912	0.3659694350108058
contig_10718	18130	0.42316602316602314
contig_10720	3033	0.4256511704582921
contig_10722	12401	0.425449560519313
contig_10724	30888	0.460988085988086
contig_10725	6485	0.4
contig_10726	74851	0.46671387155816224
contig_10727	28854	0.5386428224856172
contig_10728	39444	0.4346161646891796
contig_10729	8166	0.414156257653686
contig_1073	3226	0.5337879727216367
contig_10730	22283	0.5105685948929677
contig_10731	26092	0.49996167407634523
contig_10732	11617	0.364465868985108
contig_10734	82369	0.37956027146135074
contig_10735	19769	0.43421518539126913
contig_10736	19716	0.40860215053763443
contig_10737	12360	0.4355987055016181
contig_10739	26505	0.29432182607055274
contig_10740	43562	0.31022450759836556
contig_10742	13525	0.43134935304990757
contig_10744	3079	0.425462812601494
contig_10745	30078	0.4634616663341978
contig_10746	20745	0.26088214027476503
contig_10749	15689	0.4597488686340748
contig_10750	32678	0.4343901095538283
contig_10751	4506	0.5963160230803374
contig_10752	8322	0.5814708002883923
contig_10753	12783	0.4060862082453258
contig_10754	80801	0.4022351208524647
contig_10756	17514	0.4635719995432226
contig_10757	14877	0.39067016199502586
contig_10758	3998	0.3434217108554277
contig_10759	47236	0.44616394275552546
contig_10760	25115	0.43452120246864423
contig_10761	151093	0.40044873025222877
contig_10762	12432	0.3342181467181467
contig_10763	9498	0.3299642029901032
contig_10765	7986	0.31442524417731027
contig_10766	10642	0.31911294869385454
contig_10767	50094	0.41124685591088755
contig_10768	28187	0.4691879235108383
contig_10769	9522	0.4344675488342785
contig_10770	10866	0.4568378428124425
contig_10771	33493	0.5608634640074045
contig_10772	3585	0.3693165969316597
contig_10773	7923	0.46194623248769406
contig_10774	11423	0.6310076162129038
contig_10775	70760	0.6281514980214811
contig_10776	50894	0.6018587652768499
contig_10777	17250	0.47304347826086957
contig_10778	18079	0.4281210243929421
contig_10779	8646	0.48554244737450847
contig_1078	16100	0.4685714285714286
contig_10780	10051	0.48701621729181177
contig_10781	16197	0.47113663024016794
contig_10782	18288	0.43728127734033245
contig_10783	7355	0.4908225696804895
contig_10784	4643	0.45767822528537583
contig_10785	80583	0.4758199620267302
contig_10786	11416	0.5381920112123336
contig_10787	6747	0.28205128205128205
contig_10788	51889	0.5705448168205207
contig_10789	7813	0.3573531293997184
contig_10791	3715	0.45114401076716015
contig_10792	6438	0.44097545821683753
contig_10793	242730	0.46796852469822436
contig_10794	16103	0.517232813761411
contig_10795	3328	0.3870192307692308
contig_10796	12316	0.6247158168236441
contig_10797	11218	0.5140845070422535
contig_10798	8993	0.379183809629712
